date,ticker,name,end,AUM,log_return_t+5
2024-05-08,459580,KODEX CD금리액티브(합성),1017009,350497,0.0008747324761113617
2024-05-09,157450,TIGER 단기통안채,105793,6221,0.0006992346500513946
2024-05-09,423160,KODEX KOFR금리액티브(합성),104885,55016,0.0010005956760963386
2024-05-09,459580,KODEX CD금리액티브(합성),1017207,255640,0.0008932243780837013
2024-05-10,157450,TIGER 단기통안채,105803,4103,0.0007936133441237558
2024-05-10,423160,KODEX KOFR금리액티브(합성),104915,924126,0.0008574695647336483
2024-05-10,459580,KODEX CD금리액티브(합성),1017422,294954,0.0007486714379822956
2024-05-13,157450,TIGER 단기통안채,105822,12328,0.0006140504375569122
2024-05-13,423160,KODEX KOFR금리액티브(합성),104930,935273,0.0007525996001582769
2024-05-13,459580,KODEX CD금리액티브(합성),1017491,300203,0.0007771004329129028
2024-05-14,157450,TIGER 단기통안채,105832,45860,0.0006139924341219682
2024-05-14,423160,KODEX KOFR금리액티브(합성),104950,28085,0.0006953275225018984
2024-05-14,459580,KODEX CD금리액티브(합성),1017709,370954,0.0006640165187263847
2024-05-16,157450,TIGER 단기통안채,105877,9641,0.0004626941155141395
2024-05-16,423160,KODEX KOFR금리액티브(합성),104965,51417,0.0006476252381126812
2024-05-16,459580,KODEX CD금리액티브(합성),1017899,270936,0.0006717466942696149
2024-05-17,157450,TIGER 단기통안채,105867,7012,0.0007459410297130376
2024-05-17,423160,KODEX KOFR금리액티브(합성),104990,41933,0.0006474710768546998
2024-05-17,459580,KODEX CD금리액티브(합성),1018116,295979,0.0006833820607177188
2024-05-20,157450,TIGER 단기통안채,105887,8402,0.0005098476232578975
2024-05-20,423160,KODEX KOFR금리액티브(합성),105005,44343,0.0006473786153229355
2024-05-20,459580,KODEX CD금리액티브(합성),1018184,299572,0.0006902067015914781
2024-05-21,157450,TIGER 단기통안채,105887,13354,0.0006042353302735393
2024-05-21,423160,KODEX KOFR금리액티브(합성),105009,42970,0.0006949369838586961
2024-05-21,459580,KODEX CD금리액티브(합성),1018282,278625,0.0006862148160848847
2024-05-22,157450,TIGER 단기통안채,105897,5596,0.0007457297877593305
2024-05-22,423160,KODEX KOFR금리액티브(합성),105023,26117,0.000609204721140344
2024-05-22,459580,KODEX CD금리액티브(합성),1018385,250905,0.0006802577781517272
2024-05-23,157450,TIGER 단기통안채,105926,9575,0.000754959173695724
2024-05-23,423160,KODEX KOFR금리액티브(합성),105033,44183,0.0006472060911004718
2024-05-23,459580,KODEX CD금리액티브(합성),1018583,269673,0.0006879742668690625
2024-05-24,157450,TIGER 단기통안채,105946,4127,0.0005661659394835539
2024-05-24,423160,KODEX KOFR금리액티브(합성),105058,53068,0.0006946129715181826
2024-05-24,459580,KODEX CD금리액티브(합성),1018812,291309,0.000675068415558755
2024-05-27,157450,TIGER 단기통안채,105941,11255,0.0006605269357695676
2024-05-27,423160,KODEX KOFR금리액티브(합성),105073,55740,0.000742065640261913
2024-05-27,459580,KODEX CD금리액티브(합성),1018887,360957,0.0006642298734576002
2024-05-28,157450,TIGER 단기통안채,105951,11165,0.0007453498535934244
2024-05-28,423160,KODEX KOFR금리액티브(합성),105082,20420,0.0007039641078776526
2024-05-28,459580,KODEX CD금리액티브(합성),1018981,349521,0.0006729950691752862
2024-05-29,157450,TIGER 단기통안채,105976,3480,0.0007923183270239775
2024-05-29,423160,KODEX KOFR금리액티브(합성),105087,20219,0.0008465588840191884
2024-05-29,459580,KODEX CD금리액티브(합성),1019078,392247,0.000786676372303674
2024-05-30,157450,TIGER 단기통안채,106006,4948,0.0007449632813596452
2024-05-30,423160,KODEX KOFR금리액티브(합성),105101,42616,0.0010365602346968927
2024-05-30,459580,KODEX CD금리액티브(합성),1019284,373178,0.0008923852675923882
2024-05-31,157450,TIGER 단기통안채,106006,7293,0.0008392228723437256
2024-05-31,423160,KODEX KOFR금리액티브(합성),105131,31240,0.0008937230814130004
2024-05-31,459580,KODEX CD금리액티브(합성),1019500,371053,0.0007520467152861698
2024-06-03,157450,TIGER 단기통안채,106011,9629,0.0008863075501448492
2024-06-03,423160,KODEX KOFR금리액티브(합성),105151,38636,0.0007510184257437658
2024-06-03,459580,KODEX CD금리액티브(합성),1019564,392138,0.0007863015312494781
2024-06-04,157450,TIGER 단기통안채,106030,5155,0.0007542189477920402
2024-06-04,423160,KODEX KOFR금리액티브(합성),105156,26799,0.0007509827294214233
2024-06-04,459580,KODEX CD금리액티브(합성),1019667,431774,0.0007803424687562455
2024-06-05,157450,TIGER 단기통안채,106060,19220,0.0007916910556584611
2024-06-05,423160,KODEX KOFR금리액티브(합성),105176,23774,0.0006843326123426863
2024-06-05,459580,KODEX CD금리액티브(합성),1019880,337826,0.0007703820829068064
2024-06-07,157450,TIGER 단기통안채,106085,5594,0.0006973106707235388
2024-06-07,423160,KODEX KOFR금리액티브(합성),105210,38555,0.0006461176158794046
2024-06-07,459580,KODEX CD금리액티브(합성),1020194,417651,0.0006819905765524936
2024-06-10,157450,TIGER 단기통안채,106095,4998,0.000650149133186062
2024-06-10,423160,KODEX KOFR금리액티브(합성),105225,35236,0.0006460255404761028
2024-06-10,459580,KODEX CD금리액티브(합성),1020267,344738,0.000679003390240851
2024-06-11,157450,TIGER 단기통안채,106105,6769,0.0007442684608882644
2024-06-11,423160,KODEX KOFR금리액티브(합성),105230,38359,0.0005510217793016636
2024-06-11,459580,KODEX CD금리액티브(합성),1020366,353909,0.0006779581571549897
2024-06-12,157450,TIGER 단기통안채,106110,11530,0.0007913181511725043
2024-06-12,423160,KODEX KOFR금리액티브(합성),105235,28823,0.0006839490724566133
2024-06-12,459580,KODEX CD금리액티브(합성),1020463,351644,0.0006847486950949389
2024-06-13,157450,TIGER 단기통안채,106144,5581,0.0007439950994658773
2024-06-13,423160,KODEX KOFR금리액티브(합성),105248,45247,0.0006553795974610921
2024-06-13,459580,KODEX CD금리액티브(합성),1020666,365337,0.0006777589553212948
2024-06-14,157450,TIGER 단기통안채,106159,14407,0.0006968247673579953
2024-06-14,423160,KODEX KOFR금리액티브(합성),105278,56611,0.0006551929017781788
2024-06-14,459580,KODEX CD금리액티브(합성),1020890,338045,0.0006795680402369442
2024-06-17,157450,TIGER 단기통안채,106164,5746,0.0006026592521095608
